DateTime,average,power
2017-08-01 00:15:00,0.679,0.112
2017-08-01 00:30:00,0.641,0.108
2017-08-01 00:45:00,0.56,0.116
2017-08-01 01:00:00,0.455,0.112
2017-08-01 01:15:00,0.502,0.616
2017-08-01 01:30:00,0.452,0.64
2017-08-01 01:45:00,0.449,0.596
2017-08-01 02:00:00,0.491,0.524
2017-08-01 02:15:00,0.476,0.6
2017-08-01 02:30:00,0.424,0.592
2017-08-01 02:45:00,0.432,0.628
2017-08-01 03:00:00,0.457,0.616
2017-08-01 03:15:00,0.463,0.628
2017-08-01 03:30:00,0.418,0.588
2017-08-01 03:45:00,0.395,0.556
2017-08-01 04:00:00,0.38,0.524
2017-08-01 04:15:00,0.388,0.54
2017-08-01 04:30:00,0.389,0.588
2017-08-01 04:45:00,0.434,0.52
2017-08-01 05:00:00,0.388,0.288
2017-08-01 05:15:00,0.28,0.252
2017-08-01 05:30:00,0.264,0.288
2017-08-01 05:45:00,0.316,0.24
2017-08-01 06:00:00,0.417,0.328
2017-08-01 06:15:00,0.371,0.316
2017-08-01 06:30:00,0.338,0.292
2017-08-01 06:45:00,0.412,0.232
2017-08-01 07:00:00,0.602,0.284
2017-08-01 07:15:00,0.401,0.252
2017-08-01 07:30:00,0.44,0.316
2017-08-01 07:45:00,0.434,0.296
2017-08-01 08:00:00,0.412,0.312
2017-08-01 08:15:00,0.32,0.256
2017-08-01 08:30:00,0.407,0.252
2017-08-01 08:45:00,0.506,0.256
2017-08-01 09:00:00,0.471,0.264
2017-08-01 09:15:00,0.557,0.336
2017-08-01 09:30:00,0.664,0.296
2017-08-01 09:45:00,0.508,0.264
2017-08-01 10:00:00,0.364,0.26
2017-08-01 10:15:00,0.354,0.28
2017-08-01 10:30:00,0.343,0.212
2017-08-01 10:45:00,0.369,0.324
2017-08-01 11:00:00,0.327,0.336
2017-08-01 11:15:00,0.31,0.312
2017-08-01 11:30:00,0.295,0.188
2017-08-01 11:45:00,0.508,0.272
2017-08-01 12:00:00,0.973,0.296
2017-08-01 12:15:00,0.787,0.28
2017-08-01 12:30:00,0.66,0.444
2017-08-01 12:45:00,0.777,0.564
2017-08-01 13:00:00,0.45,0.584
2017-08-01 13:15:00,0.456,0.628
2017-08-01 13:30:00,0.548,0.616
2017-08-01 13:45:00,0.653,0.676
2017-08-01 14:00:00,0.505,0.752
2017-08-01 14:15:00,0.421,0.648
2017-08-01 14:30:00,0.438,0.504
2017-08-01 14:45:00,0.446,0.528
2017-08-01 15:00:00,0.58,0.452
2017-08-01 15:15:00,0.905,0.304
2017-08-01 15:30:00,0.424,0.36
2017-08-01 15:45:00,0.417,0.524
2017-08-01 16:00:00,0.377,0.452
2017-08-01 16:15:00,0.408,0.308
2017-08-01 16:30:00,0.402,0.312
2017-08-01 16:45:00,0.385,0.492
2017-08-01 17:00:00,0.441,0.58
2017-08-01 17:15:00,0.443,0.556
2017-08-01 17:30:00,0.462,0.588
2017-08-01 17:45:00,0.555,0.672
2017-08-01 18:00:00,0.958,1.94
2017-08-01 18:15:00,0.805,1.072
2017-08-01 18:30:00,0.924,1.668
2017-08-01 18:45:00,1.462,3.944
2017-08-01 19:00:00,1.008,1.512
2017-08-01 19:15:00,0.913,1.248
2017-08-01 19:30:00,0.76,0.856
2017-08-01 19:45:00,0.806,0.692
2017-08-01 20:00:00,0.861,0.596
2017-08-01 20:15:00,0.903,0.58
2017-08-01 20:30:00,0.983,0.648
2017-08-01 20:45:00,1.041,0.616
2017-08-01 21:00:00,1.152,0.556
2017-08-01 21:15:00,1.237,0.564
2017-08-01 21:30:00,0.98,0.62
2017-08-01 21:45:00,1.419,0.656
2017-08-01 22:00:00,1.375,0.704
2017-08-01 22:15:00,0.977,0.564
2017-08-01 22:30:00,1.03,0.592
2017-08-01 22:45:00,1.345,0.56
2017-08-01 23:00:00,0.832,0.544
2017-08-01 23:15:00,0.802,0.596
2017-08-01 23:30:00,0.808,0.58
2017-08-01 23:45:00,0.717,0.576
2017-08-02 00:00:00,0.585,0.536
2017-08-02 00:15:00,0.49,0.588
2017-08-02 00:30:00,0.433,0.308
2017-08-02 00:45:00,0.38,0.216
2017-08-02 01:00:00,0.443,0.396
2017-08-02 01:15:00,0.415,0.424
2017-08-02 01:30:00,0.344,0.204
2017-08-02 01:45:00,0.316,0.236
2017-08-02 02:00:00,0.371,0.344
