Zeitstempel; Verbrauch Kanton AG (kWh) 
1/1/2017 0:15;143154.556
1/1/2017 0:30;140793.965
1/1/2017 0:45;139480.977
1/1/2017 1:00;139353.498
1/1/2017 1:15;141191.618
1/1/2017 1:30;139807.858
1/1/2017 1:45;138726.281
1/1/2017 2:00;138676.226
1/1/2017 2:15;138934.956
1/1/2017 2:30;137106.73
1/1/2017 2:45;135900.854
1/1/2017 3:00;134737.762
1/1/2017 3:15;134567.488
1/1/2017 3:30;132026.129
1/1/2017 3:45;131238.053
1/1/2017 4:00;129250.797
1/1/2017 4:15;129314.666
1/1/2017 4:30;127621.428
1/1/2017 4:45;126863.101
1/1/2017 5:00;126456.084
1/1/2017 5:15;128228.138
1/1/2017 5:30;127472.186
1/1/2017 5:45;126288.776
1/1/2017 6:00;126141.578
1/1/2017 6:15;127131.937
1/1/2017 6:30;125858.413
1/1/2017 6:45;123325.208
1/1/2017 7:00;119647.294
1/1/2017 7:15;117537.988
1/1/2017 7:30;115639.347
1/1/2017 7:45;116670.739
1/1/2017 8:00;116825.857
1/1/2017 8:15;118338.393
1/1/2017 8:30;116506.986
1/1/2017 8:45;117059.419
1/1/2017 9:00;118876.732
1/1/2017 9:15;120448.656
1/1/2017 9:30;120345.878
1/1/2017 9:45;121407.459
1/1/2017 10:00;122479.173
1/1/2017 10:15;125286.278
1/1/2017 10:30;124968.902
1/1/2017 10:45;127006.067
1/1/2017 11:00;126566.548
1/1/2017 11:15;128758.163
1/1/2017 11:30;128346.356
1/1/2017 11:45;129236.72
1/1/2017 12:00;129615.239
1/1/2017 12:15;132173.509
1/1/2017 12:30;132429.793
1/1/2017 12:45;131632.394
1/1/2017 13:00;131306.044
1/1/2017 13:15;132399.46
1/1/2017 13:30;130531.256
1/1/2017 13:45;128195.925
1/1/2017 14:00;127244.277
1/1/2017 14:15;129571.274
1/1/2017 14:30;126308.037
1/1/2017 14:45;125892.293
1/1/2017 15:00;125623.454
1/1/2017 15:15;127327.291
1/1/2017 15:30;126702.717
1/1/2017 15:45;127113.781
1/1/2017 16:00;129259.844
1/1/2017 16:15;131740.851
1/1/2017 16:30;133173.701
1/1/2017 16:45;136204.358
1/1/2017 17:00;140341.317
1/1/2017 17:15;147464.016
1/1/2017 17:30;151144.011
1/1/2017 17:45;154755.645
