Zeitstempel;Verbrauch Kanton AG (kWh)
1/1/2018 0:15;115932.684
1/1/2018 0:30;115536.556
1/1/2018 0:45;114460.952
1/1/2018 1:00;112960.471
1/1/2018 1:15;112750.684
1/1/2018 1:30;111782.238
1/1/2018 1:45;111532.369
1/1/2018 2:00;111364.149
1/1/2018 2:15;112532.744
1/1/2018 2:30;112028.111
1/1/2018 2:45;112863.78
1/1/2018 3:00;112656.218
1/1/2018 3:15;113013.361
1/1/2018 3:30;112586.932
1/1/2018 3:45;111904.48
1/1/2018 4:00;111606.298
1/1/2018 4:15;112256.271
1/1/2018 4:30;111989.847
1/1/2018 4:45;111370.87
1/1/2018 5:00;110817.851
1/1/2018 5:15;112107.705
1/1/2018 5:30;111565.564
1/1/2018 5:45;111518.863
1/1/2018 6:00;111468.476
1/1/2018 6:15;111711.464
1/1/2018 6:30;111245.805
1/1/2018 6:45;109008.305
1/1/2018 7:00;104845.91
1/1/2018 7:15;99633.387
1/1/2018 7:30;99414.901
1/1/2018 7:45;99446.799
1/1/2018 8:00;99832.938
1/1/2018 8:15;99770.216
1/1/2018 8:30;98636.315
1/1/2018 8:45;99744.554
1/1/2018 9:00;100486.889
1/1/2018 9:15;101740.137
1/1/2018 9:30;101691.224
1/1/2018 9:45;100913.757
1/1/2018 10:00;100540.503
1/1/2018 10:15;100803.423
1/1/2018 10:30;101166.875
1/1/2018 10:45;101378.588
1/1/2018 11:00;102258.302
1/1/2018 11:15;102501.256
1/1/2018 11:30;102539.806
1/1/2018 11:45;103480.577
1/1/2018 12:00;103922.455
1/1/2018 12:15;106719.56
1/1/2018 12:30;107499.302
1/1/2018 12:45;107839.796
1/1/2018 13:00;106582.15
1/1/2018 13:15;106141.365
1/1/2018 13:30;105874.212
1/1/2018 13:45;104786.849
1/1/2018 14:00;104470.148
1/1/2018 14:15;104360.348
1/1/2018 14:30;105538.48
1/1/2018 14:45;106063.442
1/1/2018 15:00;105865.177
1/1/2018 15:15;106940.988
1/1/2018 15:30;108572.857
1/1/2018 15:45;109051.599
1/1/2018 16:00;109694.861
1/1/2018 16:15;112465.409
1/1/2018 16:30;114609.158
