Datum,von,bis,50Hertz (MW),Amprion (MW),TenneT TSO (MW),Transnet BW (MW)
17.01.2019,00:00,00:15,0,0,0,0
17.01.2019,00:15,00:30,0,0,0,0
17.01.2019,00:30,00:45,0,0,0,0
17.01.2019,00:45,01:00,0,0,0,0
17.01.2019,01:00,01:15,0,0,0,0
17.01.2019,01:15,01:30,0,0,0,0
17.01.2019,01:30,01:45,0,0,0,0
17.01.2019,01:45,02:00,0,0,0,0
17.01.2019,02:00,02:15,0,0,0,0
17.01.2019,02:15,02:30,0,0,0,0
17.01.2019,02:30,02:45,0,0,0,0
17.01.2019,02:45,03:00,0,0,0,0
17.01.2019,03:00,03:15,0,0,0,0
17.01.2019,03:15,03:30,0,0,0,0
17.01.2019,03:30,03:45,0,0,0,0
17.01.2019,03:45,04:00,0,0,0,0
17.01.2019,04:00,04:15,0,0,0,0
17.01.2019,04:15,04:30,0,0,0,0
17.01.2019,04:30,04:45,0,0,0,0
17.01.2019,04:45,05:00,0,0,0,0
17.01.2019,05:00,05:15,0,0,0,0
17.01.2019,05:15,05:30,0,0,0,0
17.01.2019,05:30,05:45,0,0,0,0
17.01.2019,05:45,06:00,0,0,0,0
17.01.2019,06:00,06:15,0,0,0,0
17.01.2019,06:15,06:30,0,0,0,0
17.01.2019,06:30,06:45,0,0,0,0
17.01.2019,06:45,07:00,0,0,0,0
17.01.2019,07:00,07:15,0,0,0,0
17.01.2019,07:15,07:30,0,0,0,0
17.01.2019,07:30,07:45,0,0,0,0
17.01.2019,07:45,08:00,0,0,"0,11",0
17.01.2019,08:00,08:15,"0,68",2,"13,23",1
17.01.2019,08:15,08:30,"7,94",13,"58,02",8
17.01.2019,08:30,08:45,"37,02",41,"131,02",25
17.01.2019,08:45,09:00,"70,18",88,"221,34",47
17.01.2019,09:00,09:15,"110,22",155,"325,89",74
17.01.2019,09:15,09:30,"153,45",214,"437,43",103
17.01.2019,09:30,09:45,"196,78",276,"551,33",134
17.01.2019,09:45,10:00,"242,42",334,"664,34",164
17.01.2019,10:00,10:15,"284,62",386,"769,95",191
17.01.2019,10:15,10:30,"322,5",429,"864,7",215
17.01.2019,10:30,10:45,"359,18",474,"945,21",234
17.01.2019,10:45,11:00,"394,68",525,"1013,03",250
17.01.2019,11:00,11:15,"425,84",576,1072,266
17.01.2019,11:15,11:30,"452,62",619,"1118,42",283
17.01.2019,11:30,11:45,"474,68",651,"1144,03",301
17.01.2019,11:45,12:00,"489,76",674,"1152,25",320
17.01.2019,12:00,12:15,"501,59",687,"1149,33",338
17.01.2019,12:15,12:30,"508,93",694,"1135,9",355
17.01.2019,12:30,12:45,"510,12",690,"1111,69",369
17.01.2019,12:45,13:00,"504,46",682,"1079,68",380
17.01.2019,13:00,13:15,"495,61",667,"1042,4",390
17.01.2019,13:15,13:30,"480,09",644,"996,64",396
17.01.2019,13:30,13:45,"456,31",609,"941,33",397
17.01.2019,13:45,14:00,"427,62",570,"880,48",396
17.01.2019,14:00,14:15,"395,4",528,"815,93",392
17.01.2019,14:15,14:30,"359,5",483,"742,7",379
17.01.2019,14:30,14:45,"315,13",431,"659,96",354
17.01.2019,14:45,15:00,"260,24",373,"571,02",321
17.01.2019,15:00,15:15,"211,27",314,"478,02",284
17.01.2019,15:15,15:30,"162,71",260,"380,56",243
17.01.2019,15:30,15:45,"116,52",196,"284,53",196
17.01.2019,15:45,16:00,"72,47",147,"194,74",147
17.01.2019,16:00,16:15,"36,19",96,"116,44",100
17.01.2019,16:15,16:30,"15,13",51,"54,97",57
17.01.2019,16:30,16:45,"0,37",19,"16,26",23
17.01.2019,16:45,17:00,0,2,"1,7",4
17.01.2019,17:00,17:15,0,0,0,0
17.01.2019,17:15,17:30,0,0,0,0
17.01.2019,17:30,17:45,0,0,0,0
17.01.2019,17:45,18:00,0,0,0,0
17.01.2019,18:00,18:15,0,0,0,0
17.01.2019,18:15,18:30,0,0,0,0
17.01.2019,18:30,18:45,0,0,0,0
17.01.2019,18:45,19:00,0,0,0,0
17.01.2019,19:00,19:15,0,0,0,0
17.01.2019,19:15,19:30,0,0,0,0
17.01.2019,19:30,19:45,0,0,0,0
17.01.2019,19:45,20:00,0,0,0,0
17.01.2019,20:00,20:15,0,0,0,0
17.01.2019,20:15,20:30,0,0,0,0
17.01.2019,20:30,20:45,0,0,0,0
17.01.2019,20:45,21:00,0,0,0,0
17.01.2019,21:00,21:15,0,0,0,0
17.01.2019,21:15,21:30,0,0,0,0
17.01.2019,21:30,21:45,0,0,0,0
17.01.2019,21:45,22:00,0,0,0,0
17.01.2019,22:00,22:15,0,0,0,0
17.01.2019,22:15,22:30,0,0,0,0
17.01.2019,22:30,22:45,0,0,0,0
17.01.2019,22:45,23:00,0,0,0,0
17.01.2019,23:00,23:15,0,0,0,0
17.01.2019,23:15,23:30,0,0,0,0
17.01.2019,23:30,23:45,0,0,0,0
17.01.2019,23:45,00:00,0,0,0,0
18.01.2019,00:00,00:15,0,0,0,0
18.01.2019,00:15,00:30,0,0,0,0
18.01.2019,00:30,00:45,0,0,0,0
18.01.2019,00:45,01:00,0,0,0,0
18.01.2019,01:00,01:15,0,0,0,0
18.01.2019,01:15,01:30,0,0,0,0
18.01.2019,01:30,01:45,0,0,0,0
18.01.2019,01:45,02:00,0,0,0,0
18.01.2019,02:00,02:15,0,0,0,0
18.01.2019,02:15,02:30,0,0,0,0
18.01.2019,02:30,02:45,0,0,0,0
18.01.2019,02:45,03:00,0,0,0,0
18.01.2019,03:00,03:15,0,0,0,0
18.01.2019,03:15,03:30,0,0,0,0
18.01.2019,03:30,03:45,0,0,0,0
18.01.2019,03:45,04:00,0,0,0,0
18.01.2019,04:00,04:15,0,0,0,0
18.01.2019,04:15,04:30,0,0,0,0
18.01.2019,04:30,04:45,0,0,0,0
18.01.2019,04:45,05:00,0,0,0,0
18.01.2019,05:00,05:15,0,0,0,0
